name;200;left;,path;200;left;ro,created;80;right;,tag;100;left;ro,comment;260;left;,a;100;left;,b;20;left;
VSSVC,C:\Windows\System32\VSSVC.exe,2016-03-05,[NEW],,,
w32tm,C:\Windows\System32\w32tm.exe,2016-03-05,[NEW],,,
waitfor,C:\Windows\System32\waitfor.exe,2016-03-05,[NEW],,,
wbadmin,C:\Windows\System32\wbadmin.exe,2016-03-05,[NEW],,,
wbem,C:\Windows\System32\wbem,2016-03-05,[NEW],,,
wbengine,C:\Windows\System32\wbengine.exe,2016-03-05,[NEW],,,
WCN,C:\Windows\System32\WCN,2016-03-05,[NEW],,,
wdi,C:\Windows\System32\wdi,2016-03-05,[NEW],,,
wdmaud,C:\Windows\System32\wdmaud.drv,2016-03-05,[NEW],,,
WdsUnattendTemplate,C:\Windows\System32\WdsUnattendTemplate.xml,2016-03-05,[NEW],,,
WEB,C:\Windows\System32\WEB.rs,2016-03-05,[NEW],,,
wecutil,C:\Windows\System32\wecutil.exe,2016-03-05,[NEW],,,
WerFault,C:\Windows\System32\WerFault.exe,2016-03-05,[NEW],,,
WerFaultSecure,C:\Windows\System32\WerFaultSecure.exe,2016-03-05,[NEW],,,
wermgr,C:\Windows\System32\wermgr.exe,2016-03-05,[NEW],,,
wevtutil,C:\Windows\System32\wevtutil.exe,2016-03-05,[NEW],,,
wextract,C:\Windows\System32\wextract.exe,2016-03-05,[NEW],,,
WF,C:\Windows\System32\WF.msc,2016-03-05,[NEW],,,
wfp,C:\Windows\System32\wfp,2016-03-05,[NEW],,,
WFS,C:\Windows\System32\WFS.exe,2016-03-05,[NEW],,,
WFWNET,C:\Windows\System32\WFWNET.DRV,2016-03-05,[NEW],,,
where,C:\Windows\System32\where.exe,2016-03-05,[NEW],,,
whoami,C:\Windows\System32\whoami.exe,2016-03-05,[NEW],,,
wiaacmgr,C:\Windows\System32\wiaacmgr.exe,2016-03-05,[NEW],,,
WIFEMAN,C:\Windows\System32\WIFEMAN.DLL,2016-03-05,[NEW],,,
wimserv,C:\Windows\System32\wimserv.exe,2016-03-05,[NEW],,,
win,C:\Windows\System32\win.com,2016-03-05,[NEW],,,
win32k,C:\Windows\System32\win32k.sys,2016-03-05,[NEW],,,
WinBioDatabase,C:\Windows\System32\WinBioDatabase,2016-03-05,[NEW],,,
WinBioPlugIns,C:\Windows\System32\WinBioPlugIns,2016-03-05,[NEW],,,
WindowsAnytimeUpgrade,C:\Windows\System32\WindowsAnytimeUpgrade.exe,2016-03-05,[NEW],,,
WindowsAnytimeUpgradeResults,C:\Windows\System32\WindowsAnytimeUpgradeResults.exe,2016-03-05,[NEW],,,
WindowsAnytimeUpgradeui,C:\Windows\System32\WindowsAnytimeUpgradeui.exe,2016-03-05,[NEW],,,
WindowsPowerShell,C:\Windows\System32\WindowsPowerShell,2016-03-05,[NEW],,,
winevt,C:\Windows\System32\winevt,2016-03-05,[NEW],,,
wininit,C:\Windows\System32\wininit.exe,2016-03-05,[NEW],,,
winload,C:\Windows\System32\winload.exe,2016-03-05,[NEW],,,
winlogon,C:\Windows\System32\winlogon.exe,2016-03-05,[NEW],,,
WINNLS,C:\Windows\System32\WINNLS.DLL,2016-03-05,[NEW],,,
WINOLDAP,C:\Windows\System32\WINOLDAP.MOD,2016-03-05,[NEW],,,
winresume,C:\Windows\System32\winresume.exe,2016-03-05,[NEW],,,
winrm,C:\Windows\System32\winrm,2016-03-05,[NEW],,,
winrm,C:\Windows\System32\winrm.cmd,2016-03-05,[NEW],,,
winrm,C:\Windows\System32\winrm.vbs,2016-03-05,[NEW],,,
winrs,C:\Windows\System32\winrs.exe,2016-03-05,[NEW],,,
winrshost,C:\Windows\System32\winrshost.exe,2016-03-05,[NEW],,,
WinSAT,C:\Windows\System32\WinSAT.exe,2016-03-05,[NEW],,,
WINSOCK,C:\Windows\System32\WINSOCK.DLL,2016-03-05,[NEW],,,
winspool,C:\Windows\System32\winspool.drv,2016-03-05,[NEW],,,
WINSPOOL,C:\Windows\System32\WINSPOOL.EXE,2016-03-05,[NEW],,,
WINSRPC,C:\Windows\System32\WINSRPC.DLL,2016-03-05,[NEW],,,
winver,C:\Windows\System32\winver.exe,2016-03-05,[NEW],,,
wisptis,C:\Windows\System32\wisptis.exe,2016-03-05,[NEW],,,
wksprt,C:\Windows\System32\wksprt.exe,2016-03-05,[NEW],,,
wlanext,C:\Windows\System32\wlanext.exe,2016-03-05,[NEW],,,
wlrmdr,C:\Windows\System32\wlrmdr.exe,2016-03-05,[NEW],,,
WMADMOD,C:\Windows\System32\WMADMOD.DLL,2016-03-05,[NEW],,,
WMADMOE,C:\Windows\System32\WMADMOE.DLL,2016-03-05,[NEW],,,
WMASF,C:\Windows\System32\WMASF.DLL,2016-03-05,[NEW],,,
WmiMgmt,C:\Windows\System32\WmiMgmt.msc,2016-03-05,[NEW],,,
wmploc,C:\Windows\System32\wmploc.DLL,2016-03-05,[NEW],,,
WMSPDMOD,C:\Windows\System32\WMSPDMOD.DLL,2016-03-05,[NEW],,,
WMSPDMOE,C:\Windows\System32\WMSPDMOE.DLL,2016-03-05,[NEW],,,
WMVCORE,C:\Windows\System32\WMVCORE.DLL,2016-03-05,[NEW],,,
WMVDECOD,C:\Windows\System32\WMVDECOD.DLL,2016-03-05,[NEW],,,
WMVENCOD,C:\Windows\System32\WMVENCOD.DLL,2016-03-05,[NEW],,,
WMVSDECD,C:\Windows\System32\WMVSDECD.DLL,2016-03-05,[NEW],,,
WMVSENCD,C:\Windows\System32\WMVSENCD.DLL,2016-03-05,[NEW],,,
WMVXENCD,C:\Windows\System32\WMVXENCD.DLL,2016-03-05,[NEW],,,
WOWDEB,C:\Windows\System32\WOWDEB.EXE,2016-03-05,[NEW],,,
WOWEXEC,C:\Windows\System32\WOWEXEC.EXE,2016-03-05,[NEW],,,
WPDShextAutoplay,C:\Windows\System32\WPDShextAutoplay.exe,2016-03-05,[NEW],,,
wpnpinst,C:\Windows\System32\wpnpinst.exe,2016-03-05,[NEW],,,
write,C:\Windows\System32\write.exe,2016-03-05,[NEW],,,
wscript,C:\Windows\System32\wscript.exe,2016-03-05,[NEW],,,
wscui,C:\Windows\System32\wscui.cpl,2016-03-05,[NEW],,,
WSDPrintProxy,C:\Windows\System32\WSDPrintProxy.DLL,2016-03-05,[NEW],,,
wshom,C:\Windows\System32\wshom.ocx,2016-03-05,[NEW],,,
WSHTCPIP,C:\Windows\System32\WSHTCPIP.DLL,2016-03-05,[NEW],,,
wsmanconfig_schema,C:\Windows\System32\wsmanconfig_schema.xml,2016-03-05,[NEW],,,
WSManHTTPConfig,C:\Windows\System32\WSManHTTPConfig.exe,2016-03-05,[NEW],,,
wsmprovhost,C:\Windows\System32\wsmprovhost.exe,2016-03-05,[NEW],,,
WsmPty,C:\Windows\System32\WsmPty.xsl,2016-03-05,[NEW],,,
WsmTxt,C:\Windows\System32\WsmTxt.xsl,2016-03-05,[NEW],,,
wsqmcons,C:\Windows\System32\wsqmcons.exe,2016-03-05,[NEW],,,
WSTPager,C:\Windows\System32\WSTPager.ax,2016-03-05,[NEW],,,
wuapp,C:\Windows\System32\wuapp.exe,2016-03-05,[NEW],,,
wuauclt,C:\Windows\System32\wuauclt.exe,2016-03-05,[NEW],,,
WUDFHost,C:\Windows\System32\WUDFHost.exe,2016-03-05,[NEW],,,
wusa,C:\Windows\System32\wusa.exe,2016-03-05,[NEW],,,
xcopy,C:\Windows\System32\xcopy.exe,2016-03-05,[NEW],,,
xInstaller,C:\Windows\System32\xInstaller.exe,2016-03-05,[NEW],,,
xpsrchvw,C:\Windows\System32\xpsrchvw.xml,2016-03-05,[NEW],,,
